id,nome,partido,uf,turno1,turno2,votou_sim,url_perfil,url_foto
210989,Bruno Farias,AVANTE,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/210989,https://www.camara.leg.br/internet/deputado/bandep/210989.jpg
220625,Delegada Ione,AVANTE,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/220625,https://www.camara.leg.br/internet/deputado/bandep/220625.jpg
198197,Greyce Elias,AVANTE,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/198197,https://www.camara.leg.br/internet/deputado/bandep/198197.jpg
160510,Luis Tibé,AVANTE,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/160510,https://www.camara.leg.br/internet/deputado/bandep/160510.jpg
220703,Neto Carletto,AVANTE,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/220703,https://www.camara.leg.br/internet/deputado/bandep/220703.jpg
204553,Pastor Sargento Isidório,AVANTE,BA,Nao,Nao,false,https://www.camara.leg.br/deputados/204553,https://www.camara.leg.br/internet/deputado/bandep/204553.jpg
91228,Waldemar Oliveira,AVANTE,PE,Sim,Sim,true,https://www.camara.leg.br/deputados/91228,https://www.camara.leg.br/internet/deputado/bandep/91228.jpg
178972,Alex Manente,CIDADANIA,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/178972,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg
220715,Amom Mandel,CIDADANIA,AM,Nao,Nao,false,https://www.camara.leg.br/deputados/220715,https://www.camara.leg.br/internet/deputado/bandep/220715.jpg
220549,Any Ortiz,CIDADANIA,RS,Sim,Sim,true,https://www.camara.leg.br/deputados/220549,https://www.camara.leg.br/internet/deputado/bandep/220549.jpg
141391,Arnaldo Jardim,CIDADANIA,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/141391,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg
204379,Acácio Favacho,MDB,AP,Sim,Sim,true,https://www.camara.leg.br/deputados/204379,https://www.camara.leg.br/internet/deputado/bandep/204379.jpg
160559,Alceu Moreira,MDB,RS,Sim,Sim,true,https://www.camara.leg.br/deputados/160559,https://www.camara.leg.br/internet/deputado/bandep/160559.jpg
220542,Alexandre Guimarães,MDB,TO,Sim,Sim,true,https://www.camara.leg.br/deputados/220542,https://www.camara.leg.br/internet/deputado/bandep/220542.jpg
220676,Andreia Siqueira,MDB,PA,Sim,Sim,true,https://www.camara.leg.br/deputados/220676,https://www.camara.leg.br/internet/deputado/bandep/220676.jpg
220675,Antônio Doido,MDB,PA,Sim,Sim,true,https://www.camara.leg.br/deputados/220675,https://www.camara.leg.br/internet/deputado/bandep/220675.jpg
178975,Baleia Rossi,MDB,SP,Nao,Nao,false,https://www.camara.leg.br/deputados/178975,https://www.camara.leg.br/internet/deputado/bandep/178975.jpg
178876,Célio Silveira,MDB,GO,Sim,Sim,true,https://www.camara.leg.br/deputados/178876,https://www.camara.leg.br/internet/deputado/bandep/178876.jpg
141408,Cleber Verde,MDB,MA,Sim,Sim,true,https://www.camara.leg.br/deputados/141408,https://www.camara.leg.br/internet/deputado/bandep/141408.jpg
98148,Cobalchini,MDB,SC,Sim,Sim,true,https://www.camara.leg.br/deputados/98148,https://www.camara.leg.br/internet/deputado/bandep/98148.jpg
220652,Delegado Palumbo,MDB,SP,Nao,Nao,false,https://www.camara.leg.br/deputados/220652,https://www.camara.leg.br/internet/deputado/bandep/220652.jpg
220674,Dra. Alessandra Haber,MDB,PA,Sim,Sim,true,https://www.camara.leg.br/deputados/220674,https://www.camara.leg.br/internet/deputado/bandep/220674.jpg
220540,Duda Ramos,MDB,RR,Sim,Sim,true,https://www.camara.leg.br/deputados/220540,https://www.camara.leg.br/internet/deputado/bandep/220540.jpg
198783,Emanuel Pinheiro Neto,MDB,MT,Nao,Nao,false,https://www.camara.leg.br/deputados/198783,https://www.camara.leg.br/internet/deputado/bandep/198783.jpg
220653,Fábio Teruel,MDB,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/220653,https://www.camara.leg.br/internet/deputado/bandep/220653.jpg
204456,Gutemberg Reis,MDB,RJ,Sim,Sim,true,https://www.camara.leg.br/deputados/204456,https://www.camara.leg.br/internet/deputado/bandep/204456.jpg
220537,Helena Lima,MDB,RR,Sim,Sim,true,https://www.camara.leg.br/deputados/220537,https://www.camara.leg.br/internet/deputado/bandep/220537.jpg
220672,Henderson Pinto,MDB,PA,Sim,Sim,true,https://www.camara.leg.br/deputados/220672,https://www.camara.leg.br/internet/deputado/bandep/220672.jpg
204539,Hercílio Coelho Diniz,MDB,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/204539,https://www.camara.leg.br/internet/deputado/bandep/204539.jpg
178884,Hildo Rocha,MDB,MA,Sim,Sim,true,https://www.camara.leg.br/deputados/178884,https://www.camara.leg.br/internet/deputado/bandep/178884.jpg
204436,Isnaldo Bulhões Jr.,MDB,AL,Sim,Sim,true,https://www.camara.leg.br/deputados/204436,https://www.camara.leg.br/internet/deputado/bandep/204436.jpg
230957,João Cury,MDB,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/230957,https://www.camara.leg.br/internet/deputado/bandep/230957.jpg
74079,José Priante,MDB,PA,Sim,Sim,true,https://www.camara.leg.br/deputados/74079,https://www.camara.leg.br/internet/deputado/bandep/74079.jpg
204474,Juarez Costa,MDB,MT,Nao,Nao,false,https://www.camara.leg.br/deputados/204474,https://www.camara.leg.br/internet/deputado/bandep/204474.jpg
220677,Keniston Braga,MDB,PA,Sim,Ausente,true,https://www.camara.leg.br/deputados/220677,https://www.camara.leg.br/internet/deputado/bandep/220677.jpg
178954,Lucio Mosquini,MDB,RO,Sim,Ausente,true,https://www.camara.leg.br/deputados/178954,https://www.camara.leg.br/internet/deputado/bandep/178954.jpg
229432,Luiz Fernando Vampiro,MDB,SC,Sim,Sim,true,https://www.camara.leg.br/deputados/229432,https://www.camara.leg.br/internet/deputado/bandep/229432.jpg
179001,Márcio Biolchi,MDB,RS,Sim,Sim,true,https://www.camara.leg.br/deputados/179001,https://www.camara.leg.br/internet/deputado/bandep/179001.jpg
220572,Marussa Boldrin,MDB,GO,Sim,Sim,true,https://www.camara.leg.br/deputados/220572,https://www.camara.leg.br/internet/deputado/bandep/220572.jpg
233218,Nelinho Freitas,MDB,CE,Sim,Sim,true,https://www.camara.leg.br/deputados/233218,https://www.camara.leg.br/internet/deputado/bandep/233218.jpg
178896,Newton Cardoso Jr,MDB,MG,Sim,Sim,true,https://www.camara.leg.br/deputados/178896,https://www.camara.leg.br/internet/deputado/bandep/178896.jpg
204498,Olival Marques,MDB,PA,Sim,Sim,true,https://www.camara.leg.br/deputados/204498,https://www.camara.leg.br/internet/deputado/bandep/204498.jpg
204441,Otoni de Paula,MDB,RJ,Nao,Nao,false,https://www.camara.leg.br/deputados/204441,https://www.camara.leg.br/internet/deputado/bandep/204441.jpg
161440,Pezenti,MDB,SC,Sim,Sim,true,https://www.camara.leg.br/deputados/161440,https://www.camara.leg.br/internet/deputado/bandep/161440.jpg
220586,Rafael Brito,MDB,AL,Sim,Ausente,true,https://www.camara.leg.br/deputados/220586,https://www.camara.leg.br/internet/deputado/bandep/220586.jpg
220532,Rafael Prudente,MDB,DF,Sim,Sim,true,https://www.camara.leg.br/deputados/220532,https://www.camara.leg.br/internet/deputado/bandep/220532.jpg
153423,Renilce Nicodemos,MDB,PA,Sim,Sim,true,https://www.camara.leg.br/deputados/153423,https://www.camara.leg.br/internet/deputado/bandep/153423.jpg
220694,Ricardo Maia,MDB,BA,Sim,Sim,true,https://www.camara.leg.br/deputados/220694,https://www.camara.leg.br/internet/deputado/bandep/220694.jpg
178933,Sergio Souza,MDB,PR,Sim,Sim,true,https://www.camara.leg.br/deputados/178933,https://www.camara.leg.br/internet/deputado/bandep/178933.jpg
220651,Simone Marquetto,MDB,SP,Sim,Sim,true,https://www.camara.leg.br/deputados/220651,https://www.camara.leg.br/internet/deputado/bandep/220651.jpg
220660,Yury do Paredão,MDB,CE,Sim,Sim,true,https://www.camara.leg.br/deputados/220660,https://www.camara.leg.br/internet/deputado/bandep/220660.jpg
204528,Adriana Ventura,NOVO,SP,Nao,Nao,false,https://www.camara.leg.br/deputados/204528,https://www.camara.leg.br/internet/deputado/bandep/204528.jpg
204365,Gilson Marques,NOVO,SC,Nao,Nao,false,https://www.camara.leg.br/deputados/204365,https://www.camara.leg.br/internet/deputado/bandep/204365.jpg
